word,positions
ambos,122;147;4400;5086;5975;7232;7993;21927
amen,5705;5869;24060
amenazada,20357
amigas,15359
amigo,7059;11152;11159;11166;11220;14615
amigos,6371;12399;14675;15285;15782;16049;20209;22245
amigos43,4990
aminadab,3224
amo,6298;15914;15964;15974;16017
amoblado,20858
amontonado,12764
amontonados,12727
amor,12019
ampliamente,1836;4588
amplio,20856
ams,3099
an,6910;8603;14919;15129;15580;21367;21542;21827;23146;23198;23839
ana,2202
ancianos,6314;9219;19043;21648;21921
andando,18644
andar62,7947
andrs,5432
anduvo,23362
angosta,14120
angustia,20329
anillo,15641
ans,2581
ansiedad,20383
ansiosa,11013
ansiosamente,2463
ansiosos107,12941
ante,125;161;279;520;1383;1497;1948;2114;4414;4510;8085;8420;8562;10573;12498;12510;12568;12774;13580;15551;15615;16194;16215;16869;19540;22039;23432;23435
antes,1404;1917;2041;6877;6885;9885;11928;20133;20903;21852;22251;23047
anticipado,20180
antigedad,1321
antiguos,8900;9169
anuncia,10056
ao,2325;2543;3695;13775
aos,378;2217;2224;2237;2336;3065;3833;8442;8467;12729;13749;13828;13967;15759
apagarse,8983
apareci,211;1668;1746;21479;23753
aparecido,8892;23726
aparecieron,9418;23154
aparicin,1495
apariencia,9390;13527
apedrear,19113
apedreas,14356
apegar,16150
aplanaran30,2666
aplastar,19367
apoder,230;1210;4822;6614
apoderaba,8126
apoyaban,7484
aprate,18180
apreciado,6295
apresaron,21695
apropiada,19177
apropiadamente,16761
apropiado,429;15824
aproxima,13026
aproximadamente,1073
apstoles,5424;8928;12177;16685;20889;23273
apur,18193
aqu,3494;3792;9346;9483;9651;11755;11790;14289;16464;16489;16982;17025;20019;21391;23187;23853
aquel,605;963;2776;2788;5733;5746;6238;6593;6781;6867;6912;7253;7361;7586;10920;12433;12517;14565;15480;16066;16277;16291;16615;17574;17581;23696
aquellas,20313;20319
aquello,16116
aquellos,986;3685;4926;5512;5713;5727;5799;5822;5843;6832;6893;7381;7685;7699;12404;14518;16190;19558;19681;20568
arado,10093
arca,17109
arfaxad,3275
arimatea,22998
armado,11491
armadura,11514
arni,3227
arrancaban,5125
arrepentido,10381
arrepentimiento,2610;2711;4949;23955
arrepentirn,16573
arrepentirse,15326
arrepienta,15315
arrepientan,13669;13712
arrepiente,16663
arrepiento134,16681
arrepintieron,11775
arrepintindose,15390
arriba,14618;18173
arrodill,21446
arroj,15596
arrojada,15185
arrojado,2761;12916
arrojados,10417
as,1143;1160;2706;4433;4449;4748;4968;5075;5268;5345;5510;5908;6911;7943;9076;10224;10570;11060;11689;11700;11986;12145;12759;12899;13129;13502;13518;13904;14607;15302;15372;16055;16092;17053;17083;18463;19430;19838;20486;20535;20579;21114;21195;23930
asamblea,21918
asarin103,12458
aser,2213
asesinado,9228
asesinado99,12220
asesinato,22396;22492
asientos,12041;14528;14550
asistan,3706
asombraban,439;2428
asombrado,4432
asombrados,8735;9688
asombraron,4047
asombro,4820
asustaba,9747
asustados,1681;8326;12980
asusten,1689
asustes,616;4469
ataca,11507
atarse,8138
atentos,12642;13163
aterroricen,20087
aterrorizados,23768
atestiguaron,3743
atormentes,8109
atraparlo,12290;19424;19536
atravesar,2185
atrevieron,19784
atrs,10096
augusto,1511
aumenta,16690
aumentado,1111
aumentar,12848
aunque,7067;11210;17358
ausencia,20739
autoridad,3423;3971;4061;4776;6420;8760;10481;18444;18471;19050;19060;19139;19436;21104
autoridades,12575;22697
avanzaban,18759
avanzada,151;376;743
avergence,9304
avergonzar,9314
ayudado,1042
ayudar,12122
ayudaran,4396
ayude,11005
ayunan,4964
ayunarn,5011
ayunen,4993
ayuno,2247;17513
azotar,22349;22444
azufre,17151
bagazo,2950
bailaron,7012
baile123,15696
baj,3945;5468;23024
baja,18182
bajado,9570
bajar,2655;9926
baje,17197
bajo,6385;6419;8135;11805;14375;14606;18145;18194;22805
bajo120,14591
bajos,1019
banco159,18556
bandas,1623
banquete,4879
banquetes,19898
barrabs,22379
barranco,8227
barrera,15343
barricada,18898
barrida,11574
bartolom,5438
base,6210;6230;6257;15063
bases,22097;22306
basta,21398
basta194,21622
bastn,8794
batos126,15979
bautismo,2608;19075
bautista,6699;6908;7023;9158
bautizadas,2687;3013
bautizado,3018;13409
bautizados,2805;6945;6969
bautizar,2917
bautizo,2891;6948;13404
beb,895
beban,17094;17132
bebe,834;1733;1826;12734
bebedor,7057
beben,4915;4980
beber,286;7029;13280;13948;16772;20949;21209
bebern,12938
bebidas,289
bebiendo,7048
bebimos,14183
bebo,16767
beelzeb,11378;11443;11451
bellas,19997
beln,1567;1798
bendeca,24025
bendecido,1269;14714
bendecidos,13116
bendiciendo,1203;24057
bendicin,5804;5829;5849
bendigan,5718
bendijo,2083;2155;9102;24020
bendita,582;854;903;960
bendito,860;6780;11623;13228;14396;14751;18802
benditos,5551;5566;5576;5585;10624;13081;22587
benditos95,11640
benefactores,21109
benvolo,5896
bes,15602
besaba,7154
besado,7312
besar,7323
besarlo193,21564
beso,21578
betania,18655;24013
betfag160,18653
betsaida,8951;10360
bien,3054;5321;5684;5711;5820;5827;5876;6493;8596;10572;13553;13791;16140;16148;18433;19779
bienes,5774;7487;11497;12716;12726;17190;18232
bienvenida,8401;8964;15223
bienvenido,3806
billetera,8796;10182;21313;21344
blanco,9401
blasfemen,12555
blasfemias,4729
boca,1192;1311;3757;6158;18520;20188;22028
bolso,10180
booz,3214
borde,3916;8491
bordes,16824
